Latitud,Longitud,Codi_Districte
41.3785,2.1882,1
41.3810,2.1721,1
41.3833,2.1835,1
41.3795,2.1749,1
41.3807,2.1886,1
41.3813,2.1729,1
41.3843,2.1845,1
41.3869,2.1747,1
41.3752,2.1590,2
41.3866,2.1532,2
41.3894,2.1717,2
41.3932,2.1475,2
41.3956,2.1752,2
41.3965,2.1642,2
41.4047,2.1769,2
41.4064,2.1696,2
41.4089,2.1742,2
41.3752,2.1666,2
41.3867,2.1664,2
41.3879,2.1548,2
41.3899,2.1463,2
41.3900,2.1663,2
41.3908,2.1728,2
41.3915,2.1626,2
41.3935,2.1524,2
41.3942,2.1588,2
41.3950,2.1554,2
41.3954,2.1678,2
41.3971,2.1751,2
41.3976,2.1815,2
41.4015,2.1737,2
41.4064,2.1769,2
41.4092,2.1728,2
41.3584,2.1407,3
41.3685,2.1318,3
41.3735,2.1466,3
41.3752,2.1386,3
41.3755,2.1267,3
41.3576,2.1412,3
41.3603,2.1397,3
41.3753,2.1445,3
41.3756,2.1326,3
41.3823,2.1365,4
41.3838,2.1294,4
41.3873,2.1357,4
41.3894,2.1290,4
41.3816,2.1346,4
41.3846,2.1312,4
41.3851,2.1372,4
41.3865,2.1424,4
41.3906,2.1410,4
41.3907,2.1346,4
41.3911,2.1264,4
41.3920,2.1401,5
41.3976,2.1305,5
41.3977,2.1231,5
41.4016,2.1362,5
41.4049,2.1427,5
41.4095,2.1463,5
41.3935,2.1454,5
41.3941,2.1383,5
41.3943,2.1496,5
41.3971,2.1523,5
41.3982,2.1223,5
41.4007,2.1352,5
41.4011,2.1465,5
41.4025,2.1455,5
41.4044,2.1297,5
41.4056,2.1350,5
41.4081,2.1377,5
41.3984,2.1535,6
41.3992,2.1560,6
41.4072,2.1612,6
41.4084,2.1516,6
41.4122,2.1404,6
41.3974,2.1589,6
41.4004,2.1550,6
41.4017,2.1581,6
41.4065,2.1502,6
41.4096,2.1643,6
41.4133,2.1616,7
41.4211,2.1799,7
41.4241,2.1555,7
41.4253,2.1400,7
41.4295,2.1608,7
41.4335,2.1486,7
41.4298,2.1597,7
41.4380,2.1747,8
41.4438,2.1784,8
41.4605,2.1772,8
41.4612,2.1792,8
41.4259,2.1864,9
41.4324,2.1894,9
41.4364,2.2056,9
41.4204,2.1873,9
41.4240,2.1777,9
41.4303,2.1867,9
41.4327,2.1894,9
41.3934,2.1891,10
41.4066,2.2100,10
41.4098,2.1841,10
41.4121,2.2162,10
41.4127,2.1982,10
41.4132,2.1872,10
41.4147,2.1819,10
41.4154,2.2069,10
41.3921,2.1972,10
41.3936,2.1872,10
41.4098,2.2165,10
41.3306,2.1132,
41.3752,2.1673,
41.3812,2.1579,
41.3815,2.1734,
41.3854,2.1449,
41.3856,2.1764,
41.3906,2.1664,
41.3942,2.1383,
41.3987,2.1431,
41.4013,2.1501,
41.4030,2.1989,
41.4035,2.1637,
41.4042,2.1297,
41.4219,2.2042,
41.4289,2.1742,
41.4376,2.1909,
41.3312,2.1142,
41.3785,2.1533,
41.3816,2.1584,
41.3834,2.1511,
41.3963,2.1576,
41.4002,2.2036,
41.4028,2.1646,
41.4030,2.1989,
41.4053,2.1936,
41.4071,2.1880,
41.4100,2.1839,
41.4197,2.1806,
41.4212,2.2032,
41.4234,2.1557,
41.4294,2.1743,
41.4386,2.1700,
41.4397,2.1755,
